allein,alone 
alleine,alone 
allerdings,Indeed 
also,also 
anders,different 
ansonsten,otherwise 
auch,also 
außen,Outside 
außerdem,also 
bald,soon 
bereits,already 
besonders,especially 
bisher,so far 
bitte,You're welcome 
da,Big 
dabei,while 
dadurch,thereby 
dafür,for this 
daher,therefore 
damals,back then 
damit,in order to 
danach,after that 
dann,then 
daran,to that 
darauf,thereon 
darüber,about that 
darum,therefore 
davon,from that 
dazu,to 
denn,because 
dennoch,yet 
derzeit,currently 
deshalb,therefore 
deswegen,that's why 
dort,There 
dran,turn 
draußen,outside 
drin,in it 
drinnen,inside 
drüben,over there 
durchaus,quite 
ebenfalls,Likewise 
eher,rather 
eigentlich,actually 
einmal,once 
endlich,at last 
etwa,about 
fast,fast 
ganz,all 
gar,at all 
genauso,just like that 
genug,enough 
gerade,just 
gern,gladly 
gerne,with pleasure 
gestern,yesterday 
gratis,free 
her,her 
heraus,out 
herein,herein 
herum,around 
herunter,down 
heute,today 
hier,here 
hierher,here 
hiermit,herewith 
hierzu,For this 
hin,down 
hinaus,out 
hingegen,on the other hand 
hinten,rear 
hinzu,added 
immer,always 
innen,before 
insbesondere,especially 
inzwischen,meanwhile 
irgendwann,Sometime 
irgendwie,somehow 
irgendwo,somewhere 
ja,and 
je,is 
jedenfalls,in any case 
jederzeit,at any time 
jedoch,however 
jetzt,now 
kaum,barely 
leider,Unfortunately 
links,links 
mal,times 
manchmal,sometimes 
mehr,more 
meist,most of time 
meistens,mostly 
mindestens,at least 
mittlerweile,now 
nachts,at night 
natürlich,Naturally 
nebenan,next door 
nein,No 
nicht,Not 
nie,no 
niemals,No way 
noch,still 
nochmals,again 
normalerweise,usually 
nun,now 
nur,just 
oben,above 
oft,often 
plus,more 
raus,Out 
rechts,right 
rein,purely 
schließlich,in the end 
schon,beautiful 
sehr,very 
selber,himself 
selbst,self 
so,so 
soeben,just 
sofort,right away 
sogar,even 
sonst,otherwise 
soweit,so far 
spätestens,no later than 
trotzdem,Nevertheless 
überall,all over 
überhaupt,at all 
übrigens,by the way 
unten,below 
unterwegs,on road 
vielleicht,maybe 
voraus,ahead 
vorbei,past 
vorher,before 
vorne,at the front 
wann,when 
warum,Why 
weiterhin,Farther 
weniger,Less 
wenigstens,at least 
wieder,again 
wieso,how so 
wo,I 
wofür,for what 
woher,where from 
wohin,where 
wohl,well 
womit,by which 
worüber,about what 
ziemlich,quite 
zu,group 
zuerst,first 
zugleich,at the same time 
zuletzt,last 
zumindest,at least 
zurück,back 
zusammen,together 
zuvor,previously 
