das,a 
dein,sua 
deine,Sua 
deinem,sua 
deinen,Sua 
deiner,Sua 
deines,Sua 
dich,vocês 
dies,esta 
diese,esses 
diesem,Esta 
diesen,esta 
dieser,esta 
dieses,esta 
dir,para você 
du,vocês 
er,ele 
es,isto 
etwas,alguma coisa 
euch,para você 
euer,sua 
eure,sua 
euren,vai 
eurer,sua 
ich,eu 
ihm,ele 
ihn,ele 
ihnen,eles 
ihr,vocês 
ihre,sua 
ihrem,Seu 
ihren,seus 
ihrer,deles 
ihres,Seu 
mein,minha 
meine,minha 
meinem,minha 
meinen,mau 
meiner,minha 
meines,minha 
mich,Eu 
mir,Eu 
sein,ser 
seine,seu 
seinem,seu 
seinen,seu 
seiner,seu 
sie,vocês 
uns,nós 
unser,nosso 
unsere,nosso 
unserem,nosso 
unseren,Nosso 
unserer,nosso 
was,o que 
wem,o qual 
wen,o qual 
wer,quem 
wessen,cujo 
wir,nós 
